scheme_code,scheme_name,category,fund_start_date,fund_age_years,return_3m_pct,return_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,fund_house
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,Equity - Banking,28/11/22,3.09,-0.04,-0.04,-0.01,,-16.98,HSBC MF
151107,HSBC Banking and PSU Debt Fund - Direct Growth,Equity - Banking,28/11/22,3.09,1.36,7.91,7.47,,1.07,HSBC MF
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,Equity - Banking,28/11/22,3.09,-0.36,0.55,-0.09,,-5.75,HSBC MF
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,Equity - Banking,28/11/22,3.09,-0.08,-0.1,0,,-10.35,HSBC MF
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,Equity - Banking,28/11/22,3.09,-0.07,-0.07,-0.02,,-15.81,HSBC MF
151104,HSBC Banking and PSU Debt Fund - Regular Growth,Equity - Banking,28/11/22,3.09,1.28,7.53,7.08,,0.73,HSBC MF
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,Equity - Banking,28/11/22,3.09,-0.57,-0.29,-0.89,,-6.54,HSBC MF
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,Equity - Banking,28/11/22,3.09,-0.09,-0.12,-0.01,,-10.2,HSBC MF
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,Equity - Banking,04/01/21,1.7,0.03,-0.6,,,-8.81,ICICI Prudential MF
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,Equity - Banking,04/01/21,1.7,0.06,-0.25,,,-9.57,ICICI Prudential MF
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,Equity - Banking,,,,,,,,ICICI Prudential MF
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,Equity - Banking,04/01/21,1.7,-0.03,-2.24,,,-4.8,ICICI Prudential MF
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,Equity - Banking,04/01/21,4.99,1.67,7.96,7.96,6.64,0.51,ICICI Prudential MF
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,Equity - Banking,04/01/21,4.99,-0.05,2.04,1.1,0.73,-1.9,ICICI Prudential MF
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,Equity - Banking,04/01/21,1.7,0.01,-0.25,,,-10.59,ICICI Prudential MF
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,Equity - Banking,,,,,,,,ICICI Prudential MF
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,Equity - Banking,04/01/21,1.7,0.47,0.2,,,-2.08,ICICI Prudential MF
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,Equity - Banking,04/01/21,4.99,1.58,7.59,7.59,6.23,0.14,ICICI Prudential MF
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,Equity - Banking,04/01/21,4.99,-0.07,1.91,1.03,0.68,-2.01,ICICI Prudential MF
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,Equity - Banking,04/01/21,1.7,0.57,0.18,,,-2.24,ICICI Prudential MF
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,Equity - Banking,,,,,,,,ICICI Prudential MF
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,Equity - Banking,,,,,,,,ICICI Prudential MF
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,Equity - Banking,,,,,,,,ICICI Prudential MF
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Equity - Banking,04/01/21,4.99,1.42,7.69,7.66,5.55,-0.21,Invesco MF
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),Equity - Banking,04/01/21,4.99,0,2.29,1.17,-2.38,-1.18,Invesco MF
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Equity - Banking,04/01/21,4.99,0.13,-0.49,0.03,0.01,-3.09,Invesco MF
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),Equity - Banking,04/01/21,4.99,0.01,2.7,1.43,0.93,-2.32,Invesco MF
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,Equity - Banking,04/01/21,4.99,1.32,7.28,7.29,5.15,-0.36,Invesco MF
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Equity - Banking,04/01/21,4.99,0.1,1.81,1.16,0.73,-2.49,Invesco MF
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,Equity - Banking,04/01/21,4.99,1.24,7.43,7.49,6.28,0.35,ITI MF
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,Equity - Banking,04/01/21,4.99,1.25,7.45,7.49,6.28,0.35,ITI MF
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,Equity - Banking,04/01/21,4.99,1.11,6.85,6.9,5.7,-0.26,ITI MF
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,Equity - Banking,04/01/21,4.99,1.11,6.85,6.9,5.7,-0.26,ITI MF
123690,Kotak Banking and PSU Debt - Growth,Equity - Banking,04/01/21,4.99,1.67,7.68,7.47,5.96,-0.06,Kotak MF
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,Equity - Banking,04/01/21,4.99,1.67,7.68,6.58,3.74,-1.36,Kotak MF
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,Equity - Banking,,,,,,,,Kotak MF
123693,Kotak Banking and PSU Debt Direct - Growth,Equity - Banking,04/01/21,4.99,1.76,8.06,7.89,6.39,0.24,Kotak MF
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,Equity - Banking,04/01/21,4.99,-0.17,-0.01,-0.01,-0.51,-5.53,Kotak MF
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,Equity - Banking,04/01/21,4.99,-0.08,-0.06,4.65,4.13,-1.51,LIC MF
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,Equity - Banking,04/01/21,4.99,1.34,8.02,7.78,5.99,0,LIC MF
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,Equity - Banking,04/01/21,4.99,1.34,8.02,7.78,5.99,0,LIC MF
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,Equity - Banking,04/01/21,4.99,-0.11,-0.04,-0.01,-0.12,-8.18,LIC MF
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,Equity - Banking,04/01/21,4.99,1.22,2.93,1.93,1.63,-4.25,LIC MF
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,Equity - Banking,04/01/21,4.99,1.21,7.49,7.24,5.44,-0.41,LIC MF
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,Equity - Banking,04/01/21,4.99,1.21,7.49,7.24,4.52,-0.84,LIC MF
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,Equity - Banking,04/01/21,4.99,-0.15,1.52,1.07,-0.11,-3.46,LIC MF
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,Equity - Banking,04/01/21,4.99,1.31,7.41,7.52,5.88,-0.1,Mirae Asset MF
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,Equity - Banking,04/01/21,4.99,1.31,7.4,7.51,5.88,-0.1,Mirae Asset MF
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Equity - Banking,04/01/21,4.99,1.2,6.93,7.04,5.41,-0.42,Mirae Asset MF
